--Game for all players in current generation--

[2013.06.23 12:18:58 Generation #1 - Move #15640 - Robot Genetic 1]
[2013.06.23 12:19:28 Generation #1 - Move #16011 - Robot Genetic 1]
[2013.06.23 12:19:58 Generation #1 - Move #16386 - Robot Genetic 1]
[2013.06.23 12:20:28 Generation #1 - Move #16750 - Robot Genetic 1]
[2013.06.23 12:20:58 Generation #1 - Move #17146 - Robot Genetic 1]
[2013.06.23 12:21:28 Generation #1 - Move #17521 - Robot Genetic 2]
[2013.06.23 12:21:58 Generation #1 - Move #17903 - Robot Genetic 2]
[2013.06.23 12:22:28 Generation #1 - Move #18285 - Robot Genetic 2]
[2013.06.23 12:22:58 Generation #1 - Move #18665 - Robot Genetic 1]
[2013.06.23 12:23:28 Generation #1 - Move #19042 - Robot Genetic 1]
[2013.06.23 12:23:58 Generation #1 - Move #19410 - Robot Genetic 1]
[2013.06.23 12:24:28 Generation #1 - Move #19801 - Robot Genetic 1]
[2013.06.23 12:24:58 Generation #1 - Move #20183 - Robot Genetic 2]
[2013.06.23 12:25:28 Generation #1 - Move #20560 - Robot Genetic 1]
[2013.06.23 12:25:58 Generation #1 - Move #20946 - Robot Genetic 1]
[2013.06.23 12:26:28 Generation #1 - Move #21313 - Robot Genetic 2]
[2013.06.23 12:26:58 Generation #1 - Move #21674 - Robot Genetic 2]
[2013.06.23 12:27:28 Generation #1 - Move #22046 - Robot Genetic 2]
[2013.06.23 12:27:58 Generation #1 - Move #22423 - Robot Genetic 2]
[2013.06.23 12:28:28 Generation #1 - Move #22811 - Robot Genetic 2]
[2013.06.23 12:28:58 Generation #1 - Move #23188 - Robot Genetic 2]
[2013.06.23 12:29:28 Generation #1 - Move #23544 - Robot Genetic 2]
[2013.06.23 12:29:58 Generation #1 - Move #23921 - Robot Genetic 2]
[2013.06.23 12:30:28 Generation #1 - Move #24300 - Robot Genetic 1]
[2013.06.23 12:30:58 Generation #1 - Move #24672 - Robot Genetic 2]
[2013.06.23 12:31:28 Generation #1 - Move #25054 - Robot Genetic 2]
[2013.06.23 12:31:58 Generation #1 - Move #25420 - Robot Genetic 1]
[2013.06.23 12:32:28 Generation #1 - Move #25798 - Robot Genetic 1]
[2013.06.23 12:32:58 Generation #1 - Move #26175 - Robot Genetic 2]
[2013.06.23 12:33:28 Generation #1 - Move #26546 - Robot Genetic 2]
[2013.06.23 12:33:58 Generation #1 - Move #26917 - Robot Genetic 2]
[2013.06.23 12:34:28 Generation #1 - Move #27302 - Robot Genetic 2]
[2013.06.23 12:34:58 Generation #1 - Move #27678 - Robot Genetic 1]
[2013.06.23 12:35:28 Generation #1 - Move #28062 - Robot Genetic 2]
[2013.06.23 12:35:59 Generation #1 - Move #28422 - Robot Genetic 1]
[2013.06.23 12:36:29 Generation #1 - Move #28778 - Robot Genetic 2]
[2013.06.23 12:36:59 Generation #1 - Move #29158 - Robot Genetic 2]
[2013.06.23 12:37:29 Generation #1 - Move #29538 - Robot Genetic 1]
[2013.06.23 12:37:59 Generation #1 - Move #29913 - Robot Genetic 1]
[2013.06.23 12:38:29 Generation #1 - Move #30289 - Robot Genetic 2]
[2013.06.23 12:38:59 Generation #1 - Move #30736 - Robot Genetic 1]
[2013.06.23 12:39:29 Generation #1 - Move #31213 - Robot Genetic 2]
[2013.06.23 12:39:59 Generation #1 - Move #31697 - Robot Genetic 1]
[2013.06.23 12:40:29 Generation #1 - Move #32159 - Robot Genetic 1]
[2013.06.23 12:40:59 Generation #1 - Move #32639 - Robot Genetic 1]
[2013.06.23 12:41:29 Generation #1 - Move #33120 - Robot Genetic 2]
[2013.06.23 12:41:59 Generation #1 - Move #33615 - Robot Genetic 1]
[2013.06.23 12:42:29 Generation #1 - Move #34092 - Robot Genetic 2]
[2013.06.23 12:42:59 Generation #1 - Move #34563 - Robot Genetic 2]
[2013.06.23 12:43:29 Generation #1 - Move #35058 - Robot Genetic 2]
[2013.06.23 12:43:59 Generation #1 - Move #35528 - Robot Genetic 2]
[2013.06.23 12:44:29 Generation #1 - Move #35998 - Robot Genetic 1]
[2013.06.23 12:44:59 Generation #1 - Move #36470 - Robot Genetic 2]
[2013.06.23 12:45:29 Generation #1 - Move #36936 - Robot Genetic 1]
[2013.06.23 12:45:59 Generation #1 - Move #37424 - Robot Genetic 1]
[2013.06.23 12:46:29 Generation #1 - Move #37905 - Robot Genetic 1]
[2013.06.23 12:46:59 Generation #1 - Move #38361 - Robot Genetic 2]
[2013.06.23 12:47:29 Generation #1 - Move #38841 - Robot Genetic 1]
[2013.06.23 12:47:59 Generation #1 - Move #39326 - Robot Genetic 2]
[2013.06.23 12:48:29 Generation #1 - Move #39811 - Robot Genetic 1]
[2013.06.23 12:48:59 Generation #1 - Move #40286 - Robot Genetic 2]
[2013.06.23 12:49:29 Generation #1 - Move #40773 - Robot Genetic 2]
[2013.06.23 12:49:59 Generation #1 - Move #41261 - Robot Genetic 2]
[2013.06.23 12:50:29 Generation #1 - Move #41745 - Robot Genetic 2]
[2013.06.23 12:50:59 Generation #1 - Move #42207 - Robot Genetic 2]
[2013.06.23 12:51:29 Generation #1 - Move #42706 - Robot Genetic 1]
